 3.51668586e-06 4.62841675e-06 2.60275642e-06 2.12791852e-06 1.92747587e-05 1.32876347e-05 1.86994597e-06 3.05620005e-06 3.25558607e-06 2.37968450e-06 2.00040854e-07 2.44511469e-07 3.22544227e-07 1.00000000e+00
 3.51868094e-06 4.63073877e-06 2.60280578e-06 2.12472022e-06 1.92732113e-05 1.32740233e-05 1.86676866e-06 3.05434017e-06 3.25393725e-06 2.38425027e-06 1.99378950e-07 2.41435040e-07 3.22222865e-07 1.00000000e+00
 4.07803134e-06 5.34614399e-06 3.00975933e-06 2.46314406e-06 2.23286792e-05 1.53951894e-05 2.16424232e-06 3.53902100e-06 3.77787922e-06 2.75849881e-06 2.31950293e-07 2.82647262e-07 3.74698701e-07 1.00000000e+00
 4.08096423e-06 5.34762600e-06 3.01096446e-06 2.45819742e-06 2.23332101e-05 1.53828275e-05 2.15928103e-06 3.53539574e-06 3.77343525e-06 2.76442237e-06 2.31036113e-07 2.80939143e-07 3.74368802e-07 1.00000000e+00
 2.19787903e-06 5.97432639e-06 2.92955486e-06 2.29001482e-06 1.77996693e-05 8.90271826e-06 1.81746607e-06 2.24735444e-06 4.19266438e-06 2.62033502e-06 1.85272704e-07 1.17582228e-07 2.83905473e-07 1.00000000e+00
 2.19963567e-06 5.97127668e-06 2.92661446e-06 2.29341361e-06 1.77986920e-05 8.90036087e-06 1.82006226e-06 2.25029093e-06 4.19452368e-06 2.61789117e-06 1.84618301e-07 1.18542324e-07 2.78742324e-07 1.00000000e+00
 2.52792066e-06 6.92782124e-06 3.39209676e-06 2.65023730e-06 2.06395875e-05 1.03121857e-05 2.10597838e-06 2.60227183e-06 4.86432748e-06 3.02864674e-06 2.14893152e-07 1.36689188e-07 3.28328869e-07 1.00000000e+00
 2.52952014e-06 6.92135069e-06 3.38722361e-06 2.65105076e-06 2.06388842e-05 1.03108926e-05 2.10812958e-06 2.60402556e-06 4.86776187e-06 3.02755318e-06 2.14366949e-07 1.37720542e-07 3.22638504e-07 1.00000000e+00
 1.40505575e-05 7.41770541e-06 6.42281762e-06 3.21866581e-06 2.35960947e-05 3.81628187e-05 3.75924265e-06 5.62400586e-06 1.05607940e-05 8.76790131e-06 4.81021431e-07 3.87601203e-07 3.90965515e-07 1.00000000e+00
 1.40397299e-05 7.41113462e-06 6.42214504e-06 3.22326575e-06 2.35870486e-05 3.81662462e-05 3.75777204e-06 5.62946002e-06 1.05679155e-05 8.76085313e-06 4.82125386e-07 3.85257548e-07 3.91183778e-07 1.00000000e+00
